sample	group	subject
35__HoxPU1_Neu_v2_1_S35_R1_001	KO-PU-cellline  U
36__HoxPU1_Neu_v2_2_S36_R1_001	KO-PU-cellline  U
37__HoxPU1_Neu_v2_3_S37_R1_001	KO-PU-cellline  U
38__HoxPU1_Neu_creEts2_c3_KO1_1_S38_R1_001	KO-PU+KO-Ets2   U
39__HoxPU1_Neu_creEts2_c3_KO1_2_S39_R1_001	KO-PU+KO-Ets2   U
40__HoxPU1_Neu_creEts2_c3_KO1_3_S40_R1_001	KO-PU+KO-Ets2   U
41__PU1_WT_1731_S41_R1_001	WT  U
42__PU1_WT_1691_S42_R1_001	WT  U
43__PU1_WT_1735_S43_R1_001	WT  U
44__PU1_WT_1734_S44_R1_001	WT  U
45__PU1_Neu_1712_S45_R1_001	KO-PU   U
46__PU1_Neu_1715_S46_R1_001	KO-PU   U
48__PU1_Neu_1718_S48_R1_001	KO-PU   U
SRR6751062_1	WT	U
SRR6751063_1	WT	U
SRR6751064_1	WT	U
SRR6751065_1	WT	Ca
SRR6751066_1	WT	Ca
SRR6751067_1	WT	Ca
SRR6751068_1	KO	U
SRR6751069_1	KO	U
SRR6751070_1	KO	U
SRR6751071_1	KO	Ca
SRR6751072_1	KO	Ca
